sample_id,filename,num_almond,num_cashew_nuts,num_walnut,question,answer
1,a1.jpg,1,0,0,この画像には何が何個写っていますか？,アーモンドが1個
2,a10.jpg,10,0,0,この画像には何が何個写っていますか？,アーモンドが10個
3,a10c10w10.jpg,10,10,10,この画像には何が何個写っていますか？,アーモンドが10個、カシューナッツが10個、クルミが10個
4,a1c1.jpg,1,1,0,この画像には何が何個写っていますか？,アーモンドが1個、カシューナッツが1個
5,a1c1w1.jpg,1,1,1,この画像には何が何個写っていますか？,アーモンドが1個、カシューナッツが1個、クルミが1個
6,a1w1.jpg,1,0,1,この画像には何が何個写っていますか？,アーモンドが1個、クルミが1個
7,a2.jpg,2,0,0,この画像には何が何個写っていますか？,アーモンドが2個
8,a2c1.jpg,2,1,0,この画像には何が何個写っていますか？,アーモンドが2個、カシューナッツが1個
9,a2c2.jpg,2,2,0,この画像には何が何個写っていますか？,アーモンドが2個、カシューナッツが2個
10,a2c2w2.jpg,2,2,2,この画像には何が何個写っていますか？,アーモンドが2個、カシューナッツが2個、クルミが2個
11,a2w1.jpg,2,0,1,この画像には何が何個写っていますか？,アーモンドが2個、クルミが1個
12,a2w2.jpg,2,0,2,この画像には何が何個写っていますか？,アーモンドが2個、クルミが2個
13,a3.jpg,3,0,0,この画像には何が何個写っていますか？,アーモンドが3個
14,a3c2.jpg,3,2,0,この画像には何が何個写っていますか？,アーモンドが3個、カシューナッツが2個
15,a3c3.jpg,3,3,0,この画像には何が何個写っていますか？,アーモンドが3個、カシューナッツが3個
16,a3c3w3.jpg,3,3,3,この画像には何が何個写っていますか？,アーモンドが3個、カシューナッツが3個、クルミが3個
17,a3w2.jpg,3,0,2,この画像には何が何個写っていますか？,アーモンドが3個、クルミが2個
18,a3w3.jpg,3,0,3,この画像には何が何個写っていますか？,アーモンドが3個、クルミが3個
19,a4.jpg,4,0,0,この画像には何が何個写っていますか？,アーモンドが4個
20,a4c2w3.jpg,4,2,3,この画像には何が何個写っていますか？,アーモンドが4個、カシューナッツが2個、クルミが3個
21,a4c3w3.jpg,4,3,3,この画像には何が何個写っていますか？,アーモンドが4個、カシューナッツが3個、クルミが3個
22,a5.jpg,5,0,0,この画像には何が何個写っていますか？,アーモンドが5個
23,a6.jpg,6,0,0,この画像には何が何個写っていますか？,アーモンドが6個
24,a7.jpg,7,0,0,この画像には何が何個写っていますか？,アーモンドが7個
25,a8.jpg,8,0,0,この画像には何が何個写っていますか？,アーモンドが8個
26,a9.jpg,9,0,0,この画像には何が何個写っていますか？,アーモンドが9個
27,a9c10w10.jpg,9,10,10,この画像には何が何個写っていますか？,アーモンドが9個、カシューナッツが10個、クルミが10個
28,a9c10w9.jpg,9,10,9,この画像には何が何個写っていますか？,アーモンドが9個、カシューナッツが10個、クルミが9個
29,a9c9w9.jpg,9,9,9,この画像には何が何個写っていますか？,アーモンドが9個、カシューナッツが9個、クルミが9個
30,c1.jpg,0,1,0,この画像には何が何個写っていますか？,カシューナッツが1個
31,c10.jpg,0,10,0,この画像には何が何個写っていますか？,カシューナッツが10個
32,c2.jpg,0,2,0,この画像には何が何個写っていますか？,カシューナッツが2個
33,c3.jpg,0,3,0,この画像には何が何個写っていますか？,カシューナッツが3個
34,c4.jpg,0,4,0,この画像には何が何個写っていますか？,カシューナッツが4個
35,c5.jpg,0,5,0,この画像には何が何個写っていますか？,カシューナッツが5個
36,c6.jpg,0,6,0,この画像には何が何個写っていますか？,カシューナッツが6個
37,c7.jpg,0,7,0,この画像には何が何個写っていますか？,カシューナッツが7個
38,c8.jpg,0,8,0,この画像には何が何個写っていますか？,カシューナッツが8個
39,c9.jpg,0,9,0,この画像には何が何個写っていますか？,カシューナッツが9個
40,w1.jpg,0,0,1,この画像には何が何個写っていますか？,クルミが1個
41,w10.jpg,0,0,10,この画像には何が何個写っていますか？,クルミが10個
42,w2.jpg,0,0,2,この画像には何が何個写っていますか？,クルミが2個
43,w3.jpg,0,0,3,この画像には何が何個写っていますか？,クルミが3個
44,w4.jpg,0,0,4,この画像には何が何個写っていますか？,クルミが4個
45,w5.jpg,0,0,5,この画像には何が何個写っていますか？,クルミが5個
46,w6.jpg,0,0,6,この画像には何が何個写っていますか？,クルミが6個
47,w7.jpg,0,0,7,この画像には何が何個写っていますか？,クルミが7個
48,w8.jpg,0,0,8,この画像には何が何個写っていますか？,クルミが8個
49,w9.jpg,0,0,9,この画像には何が何個写っていますか？,クルミが9個
